Incident ID,Year,State,City Or County,Victims Killed,Victims Injured
271363,2014,Louisiana,New Orleans,0,4
269679,2014,California,Los Angeles,1,3
270036,2014,California,Sacramento,0,4
269167,2014,Illinois,East St. Louis,1,3
268598,2014,Missouri,Saint Louis,1,3
267792,2014,Kentucky,Winchester,1,3
268282,2014,Michigan,Detroit,1,3
282186,2014,New York,Webster,3,2
267721,2014,Illinois,Chicago,0,5
266570,2014,Florida,Sarasota,2,2
268910,2014,Mississippi,Waynesboro,1,4
266424,2014,Illinois,Calumet City,1,8
266407,2014,Illinois,Rockford,4,0
264901,2014,New Jersey,Elizabeth,0,4
263556,2014,Pennsylvania,Lansdale,6,0
263376,2014,Florida,Miami,1,4
263382,2014,Florida,Tampa,0,5
262202,2014,Oregon,Portland,0,4
259935,2014,Indiana,South Bend,0,4
227011,2014,Missouri,Saint Louis,1,3
226983,2014,Virginia,Newport News,0,5
226534,2014,Tennessee,Chattanooga,0,5
226388,2014,New York,Brooklyn,0,4
226150,2014,New Jersey,Newark,1,3
225903,2014,Georgia,Atlanta,3,2
225830,2014,Tennessee,Memphis,0,4
226018,2014,Texas,Georgetown,2,3
225036,2014,California,San Francisco,0,6
224362,2014,Virginia,Parksley,0,4
224131,2014,Colorado,Denver,1,4
223651,2014,Ohio,Cleveland,4,1
223799,2014,South Dakota,Sisseton,3,1
223729,2014,Ohio,Springfield,1,3
223582,2014,Pennsylvania,Pittsburgh,0,6
222792,2014,Illinois,Chicago,1,3
222393,2014,Nevada,North Las Vegas,0,4
221554,2014,Ohio,Akron,1,4
224746,2014,Texas,El Paso,0,5
221347,2014,Missouri,Springfield,4,0
221577,2014,Florida,Miami,1,3
217831,2014,California,Pomona,0,5
218054,2014,California,Los Angeles,0,4
217401,2014,California,Compton,0,4
216533,2014,California,San Francisco,0,4
212884,2014,Tennessee,Memphis,0,5
211348,2014,Kentucky,Cadiz,4,0
210363,2014,Washington,Marysville,4,1
209134,2014,New York,Queens,0,4
207145,2014,South Carolina,Graniteville,1,3
207687,2014,New York,Brooklyn,0,4
206303,2014,Michigan,Detroit,1,3
205726,2014,Georgia,Peachtree Corners,2,2
205298,2014,Georgia,Atlanta,0,4
204310,2014,California,Stockton,3,1
204477,2014,Georgia,Atlanta,1,3
204236,2014,New York,Utica,0,4
202981,2014,Georgia,Atlanta,0,4
204254,2014,New York,Guilderland,4,0
201052,2014,Michigan,Detroit,1,5
201630,2014,Florida,Jacksonville,3,1
201648,2014,Tennessee,Memphis,2,2
201502,2014,California,Pomona,0,4
198051,2014,South Carolina,Walterboro,1,6
198527,2014,California,Fresno,0,4
197416,2014,Pennsylvania,Philadelphia,0,4
197384,2014,Florida,Miami,0,15
197287,2014,Missouri,Saint Louis,0,5
198064,2014,South Carolina,Florence,1,4
194945,2014,Ohio,East Liverpool,0,4
193960,2014,Mississippi,Batesville,2,2
193570,2014,New York,Queens,0,4
192851,2014,Florida,Bell,7,0
191416,2014,Louisiana,New Orleans,0,5
190874,2014,Texas,Flour Bluff,3,1
2172621,2014,Texas,Corpus Christi,3,1
190599,2014,Alaska,Anchorage,0,6
189562,2014,Michigan,Detroit,1,7
188332,2014,Florida,Orlando,0,4
186488,2014,Georgia,Macon,0,5
185393,2014,Michigan,Flint,0,5
185430,2014,California,Los Angeles,0,6
185196,2014,Mississippi,Jackson,2,3
184507,2014,California,Highland,0,5
183432,2014,California,Livermore,0,5
182974,2014,Florida,Brooksville,3,1
181947,2014,Michigan,Detroit,1,3
180007,2014,California,San Fernando,4,5
180018,2014,Illinois,Chicago,1,3
180580,2014,Georgia,Augusta,1,3
178425,2014,Tennessee,Memphis,0,5
178006,2014,Louisiana,Saint Martinville,0,4
177770,2014,California,East Palo Alto,1,3
175943,2014,Massachusetts,Boston,0,4
175911,2014,New York,Queens,0,4
175839,2014,Nevada,Las Vegas,0,4
175788,2014,Utah,Salt Lake City,0,6
175779,2014,New Jersey,Plainfield,1,3
174560,2014,Tennessee,Memphis,1,3
174544,2014,Tennessee,Clarksville,0,4
175767,2014,Louisiana,New Orleans,0,4
173369,2014,New York,Buffalo,1,3
173628,2014,Georgia,Cartersville,1,3
172304,2014,Louisiana,New Orleans,2,5
172205,2014,District of Columbia,Washington,0,6
172288,2014,Georgia,Wrightsville,0,6
172180,2014,California,Moreno Valley,0,7
171802,2014,Minnesota,Minneapolis,1,8
173786,2014,District of Columbia,Washington,0,4
171823,2014,New Mexico,Albuquerque,1,3
171778,2014,Wisconsin,Milwaukee,0,4
170704,2014,California,Bakersfield,3,1
169326,2014,Georgia,Atlanta,0,5
168844,2014,Virginia,Culpeper,5,0
168551,2014,Texas,Humble,0,7
169024,2014,Tennessee,Columbia,0,5
168786,2014,Missouri,Saint Louis,0,5
167872,2014,Texas,Dallas,3,1
168307,2014,Pennsylvania,Pittsburgh,1,5
168169,2014,Massachusetts,New Bedford,0,7
167649,2014,Pennsylvania,Philadelphia,1,3
176329,2014,North Carolina,Hope Mills,2,4
165856,2014,Pennsylvania,Philadelphia,1,4
165089,2014,Missouri,Saint Louis,0,5
164513,2014,Maine,Saco,4,0
166970,2014,Arkansas,Pine Bluff,1,3
163930,2014,Georgia,Sylvester,0,8
163874,2014,Illinois,Chicago,1,6
162687,2014,Pennsylvania,Braddock,0,4
161302,2014,New Jersey,Irvington,0,6
162008,2014,Tennessee,Memphis,0,4
161063,2014,Nevada,Las Vegas,1,3
160998,2014,Illinois,East Saint Louis,1,3
160488,2014,Illinois,Chicago,0,4
159291,2014,District of Columbia,Washington,0,4
158387,2014,California,Sacramento,1,4
158589,2014,Connecticut,Stamford,0,5
158306,2014,Washington,Skyway,0,5
157857,2014,California,Pasadena,3,2
157580,2014,Illinois,Chicago,1,3
156670,2014,Texas,Spring,6,1
156468,2014,Rhode Island,Providence,0,5
162305,2014,Kentucky,Stopover,0,4
155943,2014,California,San Bernardino,1,4
156125,2014,Florida,Miami,2,2
155412,2014,Missouri,Saint Louis,0,4
155755,2014,New York,Buffalo,0,4
154971,2014,Oregon,Portland,1,4
154803,2014,Texas,Houston,0,6
154834,2014,Virginia,Norfolk,0,7
154721,2014,Indiana,Indianapolis,0,7
158055,2014,Illinois,Centreville,0,5
154844,2014,Virginia,Norfolk,0,5
156834,2014,Pennsylvania,Chester,0,5
153275,2014,Kentucky,Lexington,1,3
152468,2014,Louisiana,New Orleans,1,9
153648,2014,Missouri,Saint Louis,0,4
152693,2014,California,Los Angeles,1,5
152960,2014,California,Antioch,0,7
153578,2014,New York,Manhattan,0,4
152722,2014,California,San Diego,1,3
157018,2014,Michigan,Detroit,2,2
151659,2014,Wisconsin,Milwaukee,0,5
151475,2014,Massachusetts,Lowell,0,5
150299,2014,Florida,Miami,2,7
154136,2014,California,Windsor,1,3
150344,2014,Tennessee,Memphis,0,5
149954,2014,District of Columbia,Washington,0,4
157013,2014,Maryland,Seat Pleasant,0,4
146565,2014,Indiana,Kokomo,0,4
146586,2014,Illinois,Park Forest,0,4
149706,2014,California,Los Angeles,3,1
156245,2014,New Jersey,Paterson,0,6
144524,2014,Florida,Fort Myers,4,0
144565,2014,Alabama,Opp,1,4
143979,2014,Michigan,Oak Park,1,3
143723,2014,South Carolina,Moncks Corner,1,5
142822,2014,Illinois,Chicago,1,3
142818,2014,Georgia,Atlanta,1,4
142076,2014,Illinois,Chicago,0,7
141792,2014,California,Sacramento,0,4
141382,2014,Illinois,Chicago,1,5
153532,2014,California,San Bernardino,1,3
139281,2014,Ohio,Toledo,1,3
138567,2014,Michigan,Detroit,0,4
138645,2014,South Carolina,Myrtle Beach,3,1
138282,2014,California,Goleta,3,7
140185,2014,Louisiana,New Orleans,1,7
138370,2014,California,Bellflower,2,2
142123,2014,Texas,Dallas,1,3
135904,2014,Ohio,Sandusky,0,7
136567,2014,California,Coachella,1,3
136163,2014,District of Columbia,Washington,0,5
134823,2014,Georgia,Atlanta,0,5
134591,2014,Illinois,Chicago,0,4
134238,2014,Tennessee,Memphis,0,7
156823,2014,California,Sacramento,1,6
134044,2014,Georgia,Stone Mountain,1,3
134052,2014,Georgia,Decatur,2,3
132897,2014,Colorado,Wheat Ridge,0,4
131697,2014,Illinois,Chicago,1,3
131998,2014,Arkansas,Jonesboro,3,4
132405,2014,Texas,Houston,0,6
130933,2014,Illinois,Chicago,0,4
130232,2014,Georgia,Kennesaw,0,6
129730,2014,New York,Troy,0,5
128871,2014,Tennessee,Memphis,2,3
173109,2014,California,Los Angeles,1,3
127045,2014,Illinois,Montgomery,0,6
127413,2014,Illinois,Chicago,0,5
127381,2014,Florida,Tampa,2,2
156828,2014,District of Columbia,Washington,0,4
125028,2014,Louisiana,New Orleans,1,3
124146,2014,Indiana,Richmond,0,4
124131,2014,Illinois,Rockford,0,5
123891,2014,Tennessee,Lookout Valley,3,1
123008,2014,Louisiana,New Orleans,0,4
123666,2014,Massachusetts,Springfield,0,4
125863,2014,Oklahoma,Oklahoma City,0,4
122136,2014,Illinois,Chicago,1,5
122612,2014,Arizona,Phoenix,1,3
122672,2014,California,Fairfield,0,4
121031,2014,Texas,Fort Hood,3,16
120621,2014,Mississippi,Starkville,0,5
120303,2014,North Carolina,Charlotte,0,5
117818,2014,Texas,Arlington,1,3
172722,2014,California,Long Beach,1,3
117914,2014,California,San Francisco,0,7
117642,2014,South Carolina,North Charleston,0,4
117591,2014,Texas,Beaumont,3,1
125855,2014,Georgia,Waynesboro,0,4
115012,2014,New York,Brooklyn,0,4
113156,2014,Ohio,Fremont,3,1
113247,2014,Texas,Austin,0,6
113214,2014,Illinois,Chicago,0,6
113255,2014,California,Richmond,1,3
112415,2014,South Carolina,Pelzer,3,1
111095,2014,Pennsylvania,Pittsburgh,1,4
109957,2014,Virginia,Glade Spring,3,1
109142,2014,California,Wilmington,0,4
108649,2014,California,Alturas,4,1
108691,2014,Indiana,Indianapolis,4,0
107417,2014,Florida,Orlando (Pine Hills),1,6
108659,2014,Texas,Fort Worth,1,4
107673,2014,Indiana,Fort Wayne,0,5
107519,2014,Texas,Dallas,1,7
107433,2014,Florida,Jacksonville,1,4
107403,2014,Nevada,Las Vegas,0,5
106243,2014,California,Stockton,1,3
106394,2014,Indiana,Gary,0,4
106481,2014,California,Oakland,1,3
104721,2014,Florida,Miami,0,5
105010,2014,Louisiana,New Orleans,0,4
104218,2014,Illinois,Chicago,1,3
103698,2014,Indiana,Franklin,2,2
140117,2014,Texas,Cypress,4,0
101301,2014,North Carolina,Rocky Mount,0,4
113665,2014,Washington,Seattle,1,4
100434,2014,Illinois,Chicago,1,4
100568,2014,Florida,Belle Glade,0,4
98836,2014,New Jersey,Newark,2,3
104902,2014,Virginia,Manassas,0,4
97407,2014,Oklahoma,Ardmore,1,4
97365,2014,Utah,Spanish Fork,4,0
96792,2014,California,Los Angeles,0,4
96185,2014,Michigan,Detroit,0,4
95579,2014,Illinois,Elgin,0,5
95500,2014,Louisiana,Tallulah,0,6
95550,2014,Alabama,Huntsville,0,5
95146,2014,Mississippi,Jackson,0,4
94514,2014,Pennsylvania,Erie,1,3
92704,2014,New York,Queens,1,3
92194,2014,Virginia,Norfolk,2,2
476321,2015,Louisiana,New Orleans,0,5
473882,2015,Tennessee,Jackson,0,4
472268,2015,Pennsylvania,Philadelphia,0,4
471867,2015,Florida,Jacksonville,0,4
471860,2015,Alabama,Mobile,0,4
469468,2015,California,San Leandro,0,4
468968,2015,North Carolina,Wilmington,1,4
469614,2015,Florida,North Miami Beach,0,4
468787,2015,Florida,Miami,1,4
464665,2015,California,Los Angeles,1,3
464945,2015,California,Huntington Beach,0,4
465117,2015,Illinois,Lovejoy (Brooklyn),1,3
464002,2015,Georgia,Savannah,0,4
463642,2015,Maryland,Baltimore,1,3
463734,2015,Pennsylvania,Pittsburgh,0,4
461476,2015,Ohio,Cincinnati,1,3
460049,2015,Louisiana,Raceland,1,3
460386,2015,Nebraska,Omaha,2,3
456893,2015,California,San Bernardino,14,19
457037,2015,Georgia,Savannah,1,3
455394,2015,Illinois,Kankakee,0,5
454059,2015,Colorado,Colorado Springs,3,9
455684,2015,California,Sacramento,2,2
454788,2015,South Carolina,Conway,0,4
452120,2015,Minnesota,Minneapolis,0,5
452007,2015,Ohio,Columbus,3,1
451305,2015,New York,Newburgh,0,5
452362,2015,South Carolina,North Charleston,1,3
451349,2015,Illinois,Chicago,0,4
451495,2015,Louisiana,New Orleans,0,17
451338,2015,Washington,Seattle,0,4
453317,2015,Texas,Brownsville,0,4
451057,2015,Maryland,Baltimore,1,3
450505,2015,Pennsylvania,Pittsburgh,1,3
449814,2015,California,Fresno,0,5
448653,2015,Alabama,Cedar Bluff,3,1
448419,2015,Texas,Tennessee Colony,5,0
448286,2015,Pennsylvania,Philadelphia,0,4
447462,2015,Pennsylvania,Johnstown,0,4
446996,2015,Florida,Jacksonville,3,1
444458,2015,Indiana,Indianapolis,2,2
443821,2015,Iowa,Des Moines,1,3
444168,2015,Michigan,Warren,0,4
443652,2015,Colorado,Denver,1,3
444406,2015,California,Bakersfield,0,4
441681,2015,Florida,Jacksonville,2,3
440743,2015,South Carolina,Pendleton,4,0
438651,2015,Louisiana,Houma,1,3
437836,2015,Texas,Fort Worth,0,5
436234,2015,Arizona,Phoenix,1,4
436240,2015,District of Columbia,Washington,0,5
436202,2015,North Carolina,Four Oaks,0,5
436219,2015,South Carolina,Bamberg,0,4
435144,2015,Tennessee,Nashville,1,3
433146,2015,Illinois,Calumet City,0,6
432711,2015,Louisiana,New Orleans,0,4
432466,2015,Florida,Fort Myers,1,4
432072,2015,Indiana,Elkhart,0,4
429410,2015,Georgia,Decatur,0,4
428215,2015,Tennessee,Memphis,0,6
428247,2015,North Carolina,Charlotte,0,4
429614,2015,Illinois,Peoria,1,3
427621,2015,Arizona,Flagstaff,1,3
426256,2015,Maryland,Baltimore,0,5
424224,2015,Maryland,Baltimore,1,4
423223,2015,Oregon,Roseburg,9,9
422064,2015,Illinois,Chicago,3,2
422035,2015,Illinois,Chicago,2,3
422020,2015,Ohio,Dayton,0,4
421650,2015,Ohio,Cincinnati,0,5
421014,2015,Georgia,Greenville,0,10
421358,2015,Illinois,Chicago,0,4
420855,2015,Missouri,Kansas City,0,4
426559,2015,Illinois,Danville,0,4
419718,2015,Illinois,Chicago,0,5
418964,2015,Florida,Fort Myers,0,4
419250,2015,Louisiana,Shreveport,0,5
419826,2015,Georgia,Norcross,1,3
417013,2015,Oklahoma,Tulsa,0,6
417284,2015,Pennsylvania,Philadelphia,1,3
416872,2015,Illinois,Chicago,1,5
416812,2015,Indiana,Indianapolis,1,3
418318,2015,South Dakota,Geddes,5,0
415687,2015,Michigan,Albion,0,4
414580,2015,New Jersey,Newark,0,4
413001,2015,Florida,Ocala,1,5
412996,2015,Louisiana,Shreveport,0,4
412487,2015,New York,Rochester,2,3
412529,2015,Minnesota,Minneapolis,0,6
412539,2015,Minnesota,Minneapolis,1,3
412557,2015,North Carolina,Charlotte,0,4
409856,2015,Illinois,Chicago,0,4
411888,2015,Georgia,Berlin,0,4
409732,2015,Indiana,Gary,2,4
409601,2015,Colorado,Denver,0,4
412040,2015,Minnesota,Excelsior,4,0
408449,2015,North Carolina,Charlotte,1,3
408276,2015,Florida,Daytona Beach,0,4
409101,2015,Nevada,Las Vegas,1,3
408256,2015,Missouri,Columbia,0,4
404167,2015,Tennessee,Memphis,1,4
404238,2015,Tennessee,Bristol,3,1
405133,2015,Texas,Tyler,1,3
403069,2015,New York,Brooklyn,1,3
402623,2015,Florida,Saint Augustine,2,2
403669,2015,California,Salinas,2,2
401884,2015,Minnesota,Minneapolis (Brooklyn Center),0,4
402113,2015,Illinois,Chicago,2,2
402051,2015,Florida,West Palm Beach,2,2
402108,2015,Louisiana,New Orleans,1,3
400091,2015,California,Modesto,1,7
399564,2015,New Mexico,Roswell,3,1
399883,2015,Florida,Orlando,0,4
399212,2015,North Carolina,Durham,0,8
399367,2015,Ohio,Cincinnati,1,5
398361,2015,New York,Rochester,3,3
395844,2015,Texas,Fort Worth,0,6
395757,2015,Illinois,Chicago,0,4
395718,2015,South Carolina,Bennettsville,0,5
395837,2015,Pennsylvania,Pittsburgh,1,3
395694,2015,California,Los Angeles,0,4
395549,2015,South Carolina,Orangeburg,1,3
392131,2015,California,Long Beach,0,4
391263,2015,Mississippi,Forest,1,3
391219,2015,Michigan,Detroit,1,3
391014,2015,Missouri,Kansas City,0,4
390914,2015,North Carolina,Gastonia,1,3
390774,2015,Arkansas,Blytheville,1,11
390526,2015,Texas,Houston,8,0
390050,2015,Vermont,Barre,4,0
389057,2015,South Carolina,Columbia,0,4
389149,2015,Missouri,Saint Louis,1,4
387194,2015,New York,Brooklyn,0,5
385779,2015,New York,Brooklyn,0,9
386140,2015,Maryland,Baltimore,0,7
385824,2015,Illinois,Chicago,1,4
386066,2015,Georgia,Savannah,0,5
401742,2015,Illinois,Chicago,0,4
386937,2015,Florida,Orlando,0,4
384662,2015,Pennsylvania,Pittsburgh,0,4
382459,2015,Illinois,Rockford,0,5
381814,2015,Missouri,Kansas City,2,3
382170,2015,Louisiana,New Orleans,0,4
381433,2015,Virginia,Hopewell,0,4
382413,2015,Pennsylvania,Erie,2,3
380162,2015,Louisiana,Lafayette,2,9
382230,2015,Missouri,Saint Louis,0,6
379166,2015,Georgia,Suwanee,4,0
378452,2015,Florida,Miami Gardens,1,3
377878,2015,New York,Bronx,0,6
377189,2015,Virginia,Suffolk,0,4
377047,2015,Kentucky,Louisville,0,6
377181,2015,North Carolina,Rocky Mount,0,4
378102,2015,California,San Diego,0,4
390936,2015,California,Santa Paula,0,4
376702,2015,Oregon,Salem,1,4
377423,2015,Louisiana,Baton Rouge,2,2
376211,2015,Illinois,Chicago,0,5
376823,2015,District of Columbia,Washington,1,3
376203,2015,Ohio,Cincinnati,0,4
375773,2015,Texas,Dallas,0,4
375022,2015,Tennessee,Chattanooga,5,2
375322,2015,Maryland,Baltimore,1,3
375412,2015,Ohio,Cleveland,0,7
374630,2015,South Carolina,Holly Hill,4,1
374602,2015,Georgia,Atlanta,0,4
374965,2015,Michigan,Detroit,0,4
374292,2015,Missouri,Saint Louis,0,4
373993,2015,California,Norwalk,0,4
373768,2015,California,Stockton,1,4
373095,2015,Illinois,River Forest,1,3
373063,2015,New Jersey,Jersey City,0,4
370187,2015,Ohio,Cleveland,1,3
370474,2015,Maryland,Baltimore,3,1
369014,2015,Louisiana,Shreveport,0,5
368732,2015,Indiana,Fort Wayne,0,9
369196,2015,New Jersey,East Orange,1,3
369410,2015,Kentucky,Louisville,0,4
368987,2015,Massachusetts,Pittsfield,1,4
368867,2015,District of Columbia,Washington,1,3
368995,2015,New York,Syracuse,0,4
369127,2015,Texas,San Antonio,0,4
367780,2015,Indiana,Indianapolis,1,3
366046,2015,Florida,Opa Locka,0,4
367099,2015,Illinois,Venice,0,6
365391,2015,Michigan,Detroit,0,5
365399,2015,Delaware,Harrington,0,6
364872,2015,Massachusetts,Taunton,1,3
364789,2015,Michigan,Detroit,0,4
364210,2015,Louisiana,New Orleans,0,4
363418,2015,New York,New York (Manhattan),0,4
361948,2015,Pennsylvania,Philadelphia,0,7
361708,2015,Kentucky,Lexington,1,4
361198,2015,Pennsylvania,Philadelphia,0,10
360895,2015,North Carolina,Morven,0,4
361212,2015,Michigan,Detroit,1,11
361014,2015,Rhode Island,Woonsocket,0,4
359830,2015,South Carolina,Charleston,9,0
359215,2015,Florida,Miami Gardens,0,4
358117,2015,New York,Brooklyn,0,4
357597,2015,New Jersey,Camden,1,3
357667,2015,Oklahoma,Tulsa,0,4
357611,2015,Missouri,Saint Louis,0,4
357732,2015,Georgia,Fayetteville,1,4
357590,2015,Oklahoma,Oklahoma City,0,4
357770,2015,Georgia,Milledgeville,1,3
357701,2015,New York,Bronx,0,5
357164,2015,Ohio,Columbus,4,1
357220,2015,Florida,Allapattah,0,4
356065,2015,Connecticut,Bridgeport,1,8
355883,2015,Texas,Houston,1,3
355644,2015,California,Los Angeles,1,3
355267,2015,Missouri,Saint Louis,1,3
353854,2015,Montana,Deer Lodge,4,0
353536,2015,New York,Buffalo,1,4
353037,2015,Illinois,Chicago,0,5
353382,2015,Iowa,Davenport,0,5
352779,2015,Louisiana,New Orleans,1,3
351936,2015,New York,Wyandanch,3,1
350182,2015,Georgia,Conyers,2,2
350021,2015,Maryland,Springdale,1,3
349976,2015,Connecticut,New Haven,0,5
349289,2015,California,San Diego,0,4
348606,2015,Nebraska,Omaha,0,4
348620,2015,Illinois,Chicago,0,5
348673,2015,Pennsylvania,Chester,1,3
346725,2015,Louisiana,New Orleans,2,2
346097,2015,Illinois,Decatur,1,4
345681,2015,Massachusetts,Brockton,0,5
345749,2015,Michigan,Flint,0,7
346320,2015,Alabama,Montgomery,1,3
346179,2015,Missouri,Saint Louis,0,4
346202,2015,California,Fresno,2,2
344302,2015,Maryland,Baltimore,1,3
343106,2015,Missouri,Kinloch,0,4
342589,2015,Florida,Miami,1,4
341622,2015,Texas,Waco,9,18
341465,2015,Wisconsin,Milwaukee,0,5
341162,2015,New York,Rochester,0,4
341232,2015,Maryland,Baltimore,0,5
339229,2015,Arizona,Tucson,4,0
340280,2015,Maryland,Capitol Heights,1,4
337855,2015,Ohio,Cleveland,1,4
338034,2015,New Jersey,Jersey City,0,4
337767,2015,New Jersey,Newark,1,3
335903,2015,Ohio,Cincinnati,0,4
336622,2015,Michigan,Detroit,0,4
334681,2015,New York,Buffalo,1,3
334033,2015,Indiana,South Bend,0,4
334047,2015,New York,Bronx,0,4
333576,2015,Ohio,Dayton,1,6
333584,2015,Texas,Houston,0,6
333750,2015,Wisconsin,Menasha,3,1
332732,2015,Wisconsin,Milwaukee,2,3
330611,2015,New York,Brooklyn,2,4
330750,2015,Arizona,Gila Bend,2,2
329463,2015,New Jersey,Trenton,0,4
329322,2015,New York,Gates,1,6
326792,2015,Texas,Killeen,2,3
325862,2015,Virginia,Richmond,0,4
327341,2015,Alabama,Montgomery,0,5
325445,2015,Pennsylvania,Williamsport,0,5
325166,2015,North Carolina,Lumberton,1,3
325207,2015,North Carolina,Charlotte,0,4
325618,2015,New Jersey,Paterson,1,3
324424,2015,Arizona,Phoenix,4,0
319808,2015,Georgia,Rome,1,3
318125,2015,Pennsylvania,Pittsburgh,1,3
318221,2015,Kentucky,Louisville,1,4
318297,2015,Indiana,Indianapolis,0,5
318531,2015,Michigan,Benton Harbor,0,4
317165,2015,Florida,Daytona Beach,0,4
316795,2015,Maryland,Baltimore,0,5
314044,2015,Florida,Panama City Beach,0,7
313304,2015,Texas,Amarillo,0,4
312119,2015,Indiana,Indianapolis,4,0
311922,2015,Tennessee,Clarksville,1,4
311348,2015,New Mexico,Albuquerque,1,6
310573,2015,Florida,Tampa,0,4
310356,2015,Oklahoma,Oklahoma City,0,4
468151,2015,Texas,Lancaster,1,5
308839,2015,New Jersey,Newark,1,3
308728,2015,Arizona,Mesa,1,5
308687,2015,California,Stockton,3,4
307512,2015,California,Compton,0,4
306897,2015,Georgia,Atlanta,0,5
308201,2015,California,Coachella,0,4
305907,2015,Mississippi,Brookhaven,2,3
304238,2015,Georgia,Columbus,0,5
303659,2015,Illinois,Chicago,1,3
302786,2015,South Carolina,Seneca,1,3
491864,2015,Missouri,Saint Louis,0,4
300860,2015,California,San Bernardino,3,4
300660,2015,Florida,Orlando,0,4
299344,2015,Michigan,Detroit,1,5
299190,2015,Maryland,Baltimore,1,3
298122,2015,Missouri,Tyrone,7,1
588835,2015,Florida,Daytona Beach,0,4
296215,2015,Texas,Killeen,3,1
296327,2015,South Carolina,Charleston,0,4
296121,2015,Georgia,Clarkesville,2,2
295871,2015,California,Sacramento,0,4
295502,2015,Arkansas,Little Rock,1,3
293883,2015,California,Long Beach,0,5
290626,2015,Florida,New Port Richey,3,1
290510,2015,Tennessee,Friendship,0,6
289811,2015,Georgia,Douglasville,4,2
290098,2015,Oklahoma,Tulsa,1,3
289146,2015,Ohio,Beachwood (Warrensville Heights),3,3
287529,2015,New York,Syracuse,0,6
287031,2015,New York,New York (Manhattan),1,4
286810,2015,Georgia,Lagrange,4,0
285549,2015,Georgia,Ellenwood,1,3
285123,2015,California,Stockton,1,3
282956,2015,New York,Arverne (Queens),3,1
283041,2015,Nebraska,Omaha,3,5
283115,2015,Massachusetts,Boston,0,6
281663,2015,Tennessee,Clarksville,1,3
281039,2015,Texas,San Antonio,2,5
278927,2015,Illinois,Rockford,2,2
298773,2015,Virginia,Portsmouth,0,5
276845,2015,North Carolina,Hope Mills,2,5
277480,2015,Florida,Lakeland,1,3
276766,2015,California,San Jose,0,5
276536,2015,Kansas,Wichita,2,2
276459,2015,California,San Francisco,4,0
275986,2015,Massachusetts,Boston,1,3
275064,2015,Tennessee,Chattanooga,1,3
274867,2015,Florida,Miami,1,3
273535,2015,Virginia,Roanoke,2,4
273397,2015,Texas,Dallas,3,1
273965,2015,Georgia,Savannah,1,4
272016,2015,Tennessee,Memphis,0,5
740447,2016,Georgia,Lenox (El Dorado),2,2
738749,2016,Texas,Houston,1,3
738041,2016,Ohio,Mansfield,0,5
738576,2016,Connecticut,Wallingford,2,3
736690,2016,Georgia,Columbus,1,4
734157,2016,Illinois,Chicago,3,4
735947,2016,Alabama,Ozark,0,4
733599,2016,New York,Mount Vernon,1,5
732927,2016,North Carolina,Madison,0,7
733176,2016,North Carolina,Wilson,4,0
732263,2016,Alabama,Birmingham,1,3
732574,2016,Illinois,Chicago,0,4
728286,2016,North Carolina,Charlotte,0,4
727759,2016,Illinois,Chicago (Roseland),5,0
727555,2016,Illinois,Chicago,0,4
727544,2016,Illinois,Chicago,2,2
724667,2016,California,Sacramento,1,3
723649,2016,New York,Brooklyn,0,4
723643,2016,Florida,Orlando (Pine Hills),1,4
723292,2016,Maryland,Baltimore,0,5
725338,2016,North Carolina,Rocky Mount,0,4
725323,2016,Texas,Channelview,4,0
722452,2016,California,Fresno,0,4
719128,2016,New Mexico,Albuquerque,3,1
717873,2016,California,Los Angeles,0,6
717616,2016,New Jersey,Bloomfield,0,6
716001,2016,California,Clearlake Oaks,1,3
715101,2016,Maryland,Baltimore,2,4
712796,2016,Texas,Mission (Palmview),1,3
712776,2016,California,Wilmington,0,4
713445,2016,California,San Pedro,0,4
711597,2016,Louisiana,New Orleans,1,9
711744,2016,Missouri,Kansas City,0,7
710732,2016,Illinois,Chicago,1,5
710467,2016,Louisiana,New Orleans,0,4
709370,2016,Kentucky,Louisville,2,4
709276,2016,New York,Albany,1,3
708777,2016,Mississippi,Olive Branch,0,4
708392,2016,Florida,Clewiston,1,4
704568,2016,Illinois,Chicago,0,4
703245,2016,Tennessee,Dyersburg,1,7
699605,2016,Florida,Jacksonville,3,2
699332,2016,Texas,San Antonio,0,4
700232,2016,California,San Diego,2,2
699316,2016,Florida,Orlando,0,4
699033,2016,California,Sacramento,1,5
700363,2016,Missouri,Kansas City,1,3
699303,2016,Connecticut,Bridgeport,0,5
699863,2016,Texas,Houston,0,4
698383,2016,Texas,Houston,1,3
697377,2016,Illinois,Chicago,1,3
696352,2016,Tennessee,Memphis,0,4
696917,2016,Washington,Seattle,0,5
693438,2016,Texas,San Antonio,0,4
693401,2016,South Carolina,Myrtle Beach,0,5
693624,2016,Florida,Fort Lauderdale (Lauderhill),1,3
693374,2016,California,Oakland,0,6
693290,2016,Illinois,Chicago,0,5
693307,2016,Pennsylvania,Philadelphia,0,4
692020,2016,Illinois,Chicago,2,2
692315,2016,New Jersey,Orange,2,2
692025,2016,Arkansas,Little Rock,1,4
691113,2016,Tennessee,Memphis,1,5
689518,2016,Louisiana,Shreveport,0,4
688979,2016,Ohio,Toledo,0,4
689020,2016,Maryland,Capitol Heights,3,3
688841,2016,New York,New York (Manhattan),0,4
688577,2016,New York,Newburgh,2,5
688592,2016,Texas,San Antonio,0,5
